joke_ids,Text Content,Joke_len,sentiment_score,Lexical Diversity,!,?,Num_Words,Avg rating
16,"Q. What is orange and sounds like a parrot?  

A. A carrot.",59,0.1666666666666666,1.0,0,1,12,-3.1
17,"How many men does it take to screw in a light bulb? 

One...men will screw anything.",84,0.0,0.9375,0,1,17,-1.29
18,"A dog walks into Western Union and asks the clerk to send a telegram. He fills out a form on which he
writes down the telegram he wishes to send: ""Bow wow wow, Bow wow wow.""

The clerk says, ""You can add another 'Bow wow' for the same price.""

The dog responded, ""Now wouldn't that sound a little silly?""",304,0.3389830508474576,0.8305084745762712,0,1,58,-0.91
19,"Q: If a person who speaks three languages is called ""tri-lingual,"" and
a person who speaks two languages is called ""bi-lingual,"" what do call
a person who only speaks one language?

A: American!",194,0.0,0.6666666666666666,1,1,31,0.17
20,"What's the difference between a MacIntosh and an
Etch-A-Sketch? 

You don't have to shake the Mac to clear the screen.",118,0.05,0.85,0,1,19,-1.2
21,"What's the difference between a used tire and 365 used condoms?
One's a Goodyear, the other's a great year.",107,0.1578947368421052,0.7894736842105263,0,1,18,2.11
22,"A duck walks into a pharmacy and asks for a condom. The pharmacist says
""Would you like me to stick that on your bill?""
The duck says: 
""What kind of duck do you think I am!""",174,0.0555555555555555,0.8611111111111112,1,1,36,0.88
23,"Q: What is the Australian word for a boomerang that won't
   come back? 

A: A stick",84,0.1875,1.0,0,1,15,0.17
24,"What do you get when you run over a parakeet with a lawnmower? 
Shredded tweet.",79,0.0,0.8666666666666667,0,1,15,-1.73
25,"Two kindergarten girls were talking outside: one said, ""You won't believe what I saw on the patio yesterday--a condom!""
The second girl asked, ""What's a patio?""",160,0.1153846153846153,1.0,1,1,27,0.42
26,"A guy walks into a bar and sits down next to an extremely gorgeous 
woman.  The first thing he notices about her though, are her pants.  
They were skin-tight, high-waisted and had no obvious mechanism 
(zipper, buttons or velcro) for opening them.

After several minutes of puzzling over how she got the pants up over 
her hips, he finally worked up the nerve to ask her.  ""Excuse me miss, 
but how do you get into your pants?""

""Well,"" she replied, ""you can start by buying me a drink.""",488,-0.0454545454545454,0.8522727272727273,0,1,86,1.21
27,"Clinton returns from a vacation in Arkansas and walks down  the
steps of Air Force One with two pigs under his arms.  At the bottom
of the steps, he says  to the honor guardsman, ""These are genuine
Arkansas Razor-Back Hogs.  I got this one for Chelsea and this one for
Hillary.""  

The guardsman replies, ""Nice trade, Sir.""",323,0.087719298245614,0.8421052631578947,0,0,56,2.91
28,"A mechanical, electrical and a software engineer from Microsoft were
driving through the desert when the car broke down. The mechanical
engineer said ""It seems to be a problem with the fuel injection system,
why don't we pop the hood and I'll take a look at it."" To which the
electrical engineer replied, ""No I think it's just a loose ground wire,
I'll get out and take a look."" Then, the Microsoft engineer jumps in.
""No, no, no. If we just close up all the windows, get out, wait a few
minutes, get back in, and then reopen the windows everything will work
fine.""",565,-0.0769230769230769,0.75,0,0,104,1.39
29,"An old Scotsmen is sitting with a younger Scottish gentleman and says the boy. 
""Ah, lad look out that window. You see that stone wall there, I built it with
me own bare hands, placed every stone meself.  But do they call me MacGregor the
wall builder? No! 

He Takes a few sips of his beer then says, ""Aye, and look out on that lake and 
eye that beautiful pier. I built it meself, laid every board and hammered each
nail but do they call me MacGregor the pier builder? No! 

He continues...""And lad, you see that road? That too I build with me own bare 
hands. Laid every inch of pavement meself, but do they call MacGregor the road
builder? No!""

Again he returns to his beer for a few sips, then says, 
""Agh, but you screw one sheep...""",740,0.0,0.6285714285714286,3,4,141,2.62
30,"Q: What's the difference between a Lawyer and a Plumber? 
A: A Plumber works to unclog the system.",98,0.0,0.8888888888888888,0,1,18,-0.47
31,"President Clinton looks up from his desk in the Oval Office to see
 one of his aides nervously approach him. 
 ""What is it?"" exclaims the President. 
""It's this Abortion Bill Mr. President, what do you want to do
 about it?"" the aide replies. 
""Just go ahead and pay it."" responds the President.",295,-0.0384615384615384,0.8461538461538461,0,2,51,1.95
32,"A man arrives at the gates of heaven. St. Peter asks, ""Religion?"" 
The man says, ""Methodist."" St. Peter looks down his list, and says, 
""Go to room 24, but be very quiet as you pass room 8."" 

Another man arrives at the gates of heaven. ""Religion?""
""Baptist."" ""Go to room 18, but be very quiet as you pass room 8."" 

A third man arrives at the gates. ""Religion?"" ""Jewish.""
""Go to room 11, but be very quiet as you pass room 8."" 
The man says, ""I can understand there being different rooms for different religions, but why
must I be quiet when I pass room 8?"" St. Peter tells him, ""Well the Catholics are in room 8, 
and they think they're the only ones here.",658,0.032,0.528,0,4,114,2.97
33,"What do you call an American in the finals of the world cup?

""Hey Beer Man!""",77,0.0,0.9375,1,1,16,-1.39
34,"Out in the backwoods of some midwestern state, little Johnny arrives
at school an hour late.

Teacher: ""Why are you so late, John?""
Johny : ""My big brother got shot in the ass.""
(the teacher corrects his speech)
Teacher: ""Rectum.""
Johnny : ""Wrecked him!? Hell, It damn near killed him!""",286,-0.24,0.9,2,2,48,0.92
35,"An explorer in the deepest Amazon suddenly finds himself surrounded
by a bloodthirsty group of natives. Upon surveying the situation, he
says quietly to himself, ""Oh God, I'm screwed."" 

The sky darkens and a voice booms out, ""No, you are NOT
screwed. Pick up that stone at your feet and bash in the head of the
chief standing in front of you."" 

So with the stone he bashes the life out of the chief. Standing above
the lifeless body, breathing heavily looking at 100 angry natives... 

The voice booms out again, ""Okay ..... NOW you're screwed.""",547,-0.1041666666666666,0.7708333333333334,0,0,94,2.78
36,"A guy walks into a bar, orders a beer and says to the bartender,
""Hey, I got this great Polish Joke..."" 

The barkeep glares at him and says in a warning tone of voice:
""Before you go telling that joke you better know that I'm Polish, both
bouncers are Polish and so are most of my customers""

""Okay"" says the customer,""I'll tell it very slowly.""",346,0.0923076923076923,0.8153846153846154,0,0,66,2.92
37,"A Jewish young man was seeing a psychiatrist for an eating and
sleeping disorder. 

""I am so obsessed with my mother... As soon as I go to sleep, I start
dreaming, and everyone in my dream turns into my mother. I wake up in
such a state, all I can do is go downstairs and eat a piece of toast.""

The psychiatrist replies:

""What, just one piece of toast, for a big boy like you?""",379,0.0533333333333333,0.7866666666666666,0,1,75,-1.41
38,"""May I take your order?"" the waiter asked. 

""Yes, how do you prepare your chickens?"" 

""Nothing special sir,"" he replied. ""We just tell them straight out
that they're going to die.""",182,-0.032258064516129,0.967741935483871,0,2,31,1.35
39,What is the difference between men and women:,45,0.0,1.0,0,0,8,1.1
40,"How many Irishmen does it take to change a lightbulb?

Two, one to hold the lightbulb and the other to drink until the room spins.",130,0.0,0.84,0,1,25,1.03
41,"What does an atheist say during an orgasm?
""Oh Darwin! Oh Darwin!...""",69,0.0,0.9166666666666666,2,1,12,-0.38
42,"Two men are discussing the age old question: who enjoys sex more, the
man or the woman?  A woman walks by and listens in for awhile and then
interrupts: 
""Listen you guys. You know when your ear itches and you put in your 
little finger and wiggle it around for awhile?  Afterward,
which feels better, your finger or your ear?""",327,0.0333333333333333,0.7833333333333333,0,3,60,1.74
43,"Arnold Swartzeneger and Sylvester Stallone are making a movie about
the lives of the great composers.  
Stallone says ""I want to be Mozart."" 
Swartzeneger says: ""In that case...  I'll be Bach.""",193,0.1290322580645161,0.8709677419354839,0,0,31,-0.83
44,"A horse walks into a bar. Bartender says:
""So, why the long face?""",66,0.0,1.0,0,1,13,-2.0
45,"A boy comes home from school and tells his mother that he got a part
in the school play.  ""What part?"" the mother asked. ""I play a Jewish
husband,"" the boy replied.  
""Go back to school and tell your teacher that you want a speaking role!""",239,0.0217391304347826,0.782608695652174,1,1,46,1.04
46,"A couple has been married for 75 years. For the husband's 95th
birthday, his wife decides to surprise him by hiring a prostitute.
That day, the doorbell rings. The husband uses his walker to get to
the door and opens it. 
A 21-year-old in a latex outfit smiles and
says, ""Hi, I here to give you super sex!"" 
The old man says, ""I'll take the soup.""",347,0.0757575757575757,0.8181818181818182,1,0,63,1.27
47,"There was an engineer who had an exceptional gift for fixing all 
things mechanical.  After serving his company loyally for over 30 
years, he happily retired.  Several years later the company contacted 
him regarding a seemingly impossible problem they were having with 
one of their multi-million dollar machines. They had tried everything and 
everyone else to get the machine fixed, but to no avail.  In 
desperation, they called on the retired engineer who had solved so 
many of their problems in the past.
The engineer reluctantly took the challenge.  He spent a day studying 
the huge machine.  At the end of the day, he marked a small ""x"" in 
chalk on a particular component of the machine and proudly stated, 
""This is where your problem is"".
The part was replaced and the machine worked perfectly again. The 
company received a bill for $50,000 from the engineer for his 
service.They demanded an itemized accounting of his charges. The 
engineer responded briefly:
One chalk mark                       $1 
Knowing where to put it            $49,999
It was paid in full and the engineer retired again in peace.",1121,0.0,0.6758241758241759,0,0,176,1.34
48,"The graduate with a Science degree asks, ""Why does it work?""
The graduate with an Engineering degree asks, ""How does it work?""
The graduate with an Accounting degree Asks, ""How much will it cost?"" 
The graduate with a  Liberal Arts degree asks, ""Do you want fries 
with  that?""",277,0.0208333333333333,0.5416666666666666,0,4,48,1.77
49,"Three engineering students were gathered together discussing the
possible designers of the human body.  
One said, ""It was a mechanical engineer. Just look at all the joints.""  
Another said, ""No, it was an electrical engineer.  The nervous systems many thousands of electrical
connections.""  
The last said, ""Actually it was a civil engineer. Who else would run a toxic waste pipeline through a recreational area?""",415,-0.109375,0.765625,0,1,64,2.52
50,"A guy goes into confession and says to the priest, ""Father, I'm 80 years
old, widower, with 11 grandchildren. Last night I met two beautiful flight
attendants. They took me home and I made love to both of them. Twice.""

The priest said: ""Well, my son, when was the last time you were in
confession?""
 ""Never Father, I'm Jewish.""
 ""So then, why are you telling me?""
 ""I'm telling everybody.""",390,0.0869565217391304,0.8985507246376812,0,2,67,3.36
51,"Did you hear that Clinton has announced there is a new national bird?  
The spread eagle.",89,0.0,1.0,0,1,16,-0.82
52,"Q: What do Monica Lewinsky and Bob Dole have in common?
A: They were both upset when Bill finished first.",105,-0.1,1.0,0,1,20,-0.2
53,"One Sunday morning William burst into the living room and said,
""Dad! Mom! I have some great news for you! I am getting married
to the most beautiful girl in town. She lives a block away and
her name is Susan.""
After dinner, William's dad took him aside. ""Son, I have to talk
with you. Your mother and I have been married 30 years.. She's a
wonderful wife but she has never offered much excitement in the
bedroom, so I used to fool around with women a lot. Susan is
actually your half-sister, and I'm afraid you can't marry her.""
William was heart-broken. After eight months he eventually
started dating girls again. A year later he came home and very
proudly announced, ""Dianne said yes! We're getting married in
June.""
Again his father insisted on another private conversation and
broke the sad news. ""Dianne is your half-sister too, William. I'm
awfully sorry about this.""
William was furious! He finally decided to go to his mother with
the news.
""Dad has done so much harm.. I guess I'm never going to get
married,""  he complained. ""Every time I fall in love, Dad tells
me the girl is my half-sister.""
His mother just shook her head. ""Don't pay any attention to what
he says, dear. He's not really your father.""",1216,0.0137614678899082,0.7293577981651376,5,0,212,2.55
54,"The Pope dies and, naturally, goes to heaven. He's met by the reception
committee, and after a whirlwind tour he is told that he can enjoy any
of the myriad of recreations available.
He decides that he wants to read all of the ancient original text of the
Holy Scriptures, so he spends the next eon or so learning languages.
After becoming a linguistic master, he sits down in the library and
begins to pour over every version of the Bible, working back from most
recent ""Easy Reading"" to the original script.
All of a sudden there is a scream in the library. The Angels come
running in only to find the Pope huddled in his chair, crying to himself
and muttering, ""An 'R'! The scribes left out the 'R'."" 
A particularly concerned Angel takes him aside, offering comfort, asks
him what the problem is and what does he mean. 
After collecting his
wits, the Pope sobs again, ""It's the letter 'R'. They left out the 'R'.
The word was supposed to be CELEBRATE!""",956,0.0229885057471264,0.6781609195402298,2,0,174,2.41
55,"A woman has twins, and gives them up for adoption.  One of
them goes to a family in Egypt and is named ""Amal.""  The other goes to
a  family in Spain; they name him ""Juan.""  Years later, Juan sends a
picture of himself to his mom.  Upon receiving the picture, she tells
her husband that she wishes she also had a picture of Amal.  
Her husband responds, ""But they are twins-if you've seen Juan, you've
seen   Amal.",413,0.0129870129870129,0.7402597402597403,0,0,75,0.38
56,"A man and Cindy Crawford get stranded on a desert island.  After a couple
of days they fall in love and start sleeping together.  Time pass the
man seems frustrated, Cindy asks if there is anything she can do?  He
says there is one thing, ""Could you put on this baseball cap and go to
the other side of the island and answer me when I call you Bob?""  She
agrees.  Next day he is walking on the other side of the island, runs
into her and says ""Hi Bob!""  
She says ""Hello, what's up?""  
He replies: ""Bob you won't believe it: I've been sleeping with Cindy
Crawford for the past two weeks!!!!""",591,0.0442477876106194,0.7345132743362832,5,3,113,1.69
57,"Why are there so many Jones's in the phone book?
Because they all have phones.",78,0.0,1.0,0,1,15,-1.94
58,"How many teddybears does it take to change a lightbulb?

It takes only one teddybear, but it takes a whole lot of lightbulbs.",125,0.0,0.8695652173913043,0,1,23,-3.7
59,"The Chukcha (Russian Eskimo) phones up the Russian Parliament Building.  
A guard answers. 
Chukcha:  ""What is required to become Parliament member?""
Guard:  ""What are you, an idiot?""
Chukcha:  ""Is it required?""",211,-0.0967741935483871,0.9032258064516128,0,3,31,-0.52
60,"What did the Buddhist say to the hot dog vendor?
Make me one with everything.",77,0.0,0.9333333333333332,0,1,15,-0.41
61,"During a recent publicity outing, Hillary sneaked off to visit a
fortune teller of some local repute.  In a dark and hazy room, peering
into a crystal ball, the mystic delivered grave news.
""There's no easy way to say this, so I'll just be blunt: Prepare
yourself to be a widow.  Your husband will die a violent and horrible
death this year.""
Visibly shaken, Hillary stared at the woman's lined face, then at 
the single flickering candle, then down at her hands.  She took a few 
deep breaths to compose herself.  She simply had to know.  She met the
fortune teller's gaze, steadied her voice, and asked her question.
""Will I be acquitted?""",641,-0.0619469026548672,0.7699115044247787,0,1,113,2.09
62,"A group of  managers were given the assignment to measure the
height of a flagpole. So they go out to the flagpole with ladders
and tape measures, and they're falling off the ladders, dropping
the tape measures - the whole thing is just a mess.
An engineer comes along and sees what they're trying to do,
walks over, pulls the flagpole out of the ground, lays it flat,
measures it from end to end, gives the measurement to one of the
managers and walks away.
After the engineer has gone, one manager turns to another and
laughs. ""Isn't that just like an engineer, we're looking for the 
height and he gives us the length.""",622,0.0,0.6578947368421053,0,0,113,2.68
63,"An engineer, a physicist and a mathematician are sleeping in a
room. There is a fire in the room. The engineer wakes up, sees the fire,
picks up the bucket of water and douses the fire and goes back to
sleep. 

Again there is fire in the room. This time, the physicist wakes
up, notices the bucket, fills it with water, calculates the optimal
trajectory and douses the fire in minimum amount of water and goes
back to sleep. 

Again there is fire. This time the mathematician wakes up. 
He looks at the fire, looks at the bucket and the water and
exclaims, ""A solution exists"" and goes back to sleep.",600,-0.1171171171171171,0.4954954954954955,0,0,111,0.26
64,"What is the rallying cry of the International Dyslexic Pride movement?
Dyslexics Untie!",87,-0.0769230769230769,0.9230769230769232,1,1,13,-0.72
65,"Two Rednecks were seated at the end of a bar when a young lady
seated a few stools up began to choke on a piece of hamburger.  She was
turning blue and obviously in serious respiratory distress.
One said to the other, ""That gal there is having a bad time!"" 
The other agreed and said ""Think we should go help?""  ""You bet,"" said the
first,and with that, he ran over and said, ""Can you breathe??""  She shook
her head no.  He said, ""Can you speak??""  She again shook her head no.
With that, he pulled up her skirt and licked her on the butt.
She was so shocked, she coughed up the obstruction and began to
breathe-with great relief.
The redneck walked back to his
friend and said, ""Funny how that hind lick maneuver always works.""",727,-0.0147058823529411,0.6985294117647058,1,5,136,1.99
66,"A lawyer opened the door of his BMW, when suddenly a car came along
and hit the door, ripping it off completely.  When the police arrived
at the scene, the lawyer was complaining bitterly about the damage to
his precious BMW.  
""Officer, look what they've done to my Beeeeemer!!!"", he whined.  
""You lawyers are so materialistic, you make
me sick!!!""  retorted the officer.  ""You're so worried about your
stupid BMW, that you didn't even notice that your left arm was ripped
off!!!""  
""Oh my gaaaad..."", replied the lawyer, finally noticing the
bloody left shoulder where his arm once was.  ""Where's my
Rolex???!!!!""",616,-0.1666666666666666,0.7745098039215687,13,3,102,2.44
67,"Once upon a time, two brooms fell in love and decided to get married.
Before the ceremony, the bride broom informed the groom broom that 
she was expecting a little whiskbroom. The groom broom was aghast!

""How is this possible?"" he asked. ""We've never swept together!",268,0.0217391304347826,0.8478260869565217,2,1,46,-0.91
68,"A man piloting a hot air balloon discovers he has wandered off course and
is hopelessly lost. He descends to a lower altitude and locates a man
down on the ground. He lowers the balloon further and shouts ""Excuse me,
can you tell me where I am?""

The man below says: ""Yes, you're in a hot air balloon, about 30 feet
above this field.""

""You must work in Information Technology,"" says the balloonist.

""Yes I do,"" replies the man. ""And how did you know that?""

""Well,"" says the balloonist, ""what you told me is technically correct,
but of no use to anyone.""

The man below says, ""You must work in management.""

""I do,"" replies the balloonist, ""how did you know?""

""Well,"" says the man, ""you don't know where you are, or where you're
going, but you expect my immediate help. You're in the same position you
were before we met, but now it's my fault!""",848,-0.0064516129032258,0.6709677419354839,1,3,153,2.41
69,"This guys wife asks, ""Honey if I died would you remarry?"" and he replies,
""Well, after a considerable period of grieving, we all need
companionship, I guess I would.""

She then asks, ""If I died and you remarried, would she live in this
house?"" and he replies, ""We've spent a lot of time and money getting this
house just the way we want it. I'm not going to get rid of my house, I
guess she would.""

""If I died and you remarried, and she lived in this house, would she
sleep in our bed?"" and he says, ""That bed is brand new, we just paid two
thousand dollars for it, it's going to last a long time, I guess she
would.""

So she asks, ""If I died and you remarried, and she lived in this house,
and slept in our bed, would she use my golf clubs?""

""Oh no, she's left handed.""",772,-0.0784313725490196,0.5686274509803921,0,4,153,2.28
70,"Employer to applicant: ""In this job we need someone who is responsible.""

Applicant: ""I'm the one you want. On my last job, every time anything
went wrong, they said I was responsible.""",185,0.09375,0.96875,0,0,32,0.52
71,"At a recent Sacramento PC Users Group meeting,
a company was demonstrating its latest speech-
recognition software.   A representative from the
company was just about ready to start the
demonstration and asked everyone in the room
to quiet down.

Just then someone in the back of the room yelled,
""Format C: Return.""

Someone else chimed in:
""Yes, Return""

Unfortunately, the software worked.",392,0.032258064516129,0.8225806451612904,0,0,61,-0.98
72,"On the first day of college, the Dean addressed the students,
pointing out some of the rules:

""The female dormitory will be out-of-bounds for all male students
and the male dormitory to the female students. Anybody caught breaking
this rule will be finded $20 the first time."" He continued, ""Anybody 
caught breaking this rule the second time will be fined $60. Being caught
a third time will cost you a fine of $180. Are there any questions ?""

At this point, a male student in the crowd inquired:
""How much for a season pass ?""",530,0.0210526315789473,0.6631578947368421,0,2,89,2.63
73,"Q: What is the difference between George  Washington, Richard Nixon,
and Bill Clinton?

A: Washington couldn't tell a lie, Nixon couldn't   tell the truth, and
Clinton doesn't know the difference.",196,0.0,0.8333333333333334,0,1,30,0.97
74,"Q: How many stalkers does it take to change a light bulb?

A: Two. One to replace the bulb, and the other to watch it day and night.",132,0.0,0.8214285714285714,0,1,28,-1.56
75,"Q: Do you know the difference between an intelligent male and the
Sasquatch?

A: There have been actual reported sightings of the Sasquatch.",140,0.0869565217391304,0.9130434782608696,0,1,23,-0.45
76,"There once was a man and a woman that both  got in  a terrible car wreck. Both of their vehicles  
were completely destroyed, buy fortunately, no one  was   hurt.  In thankfulness, the woman said to the 
man, 'We are both okay, so we should celebrate. I have   a  bottle of wine in my car, let's open it.'         
So the woman got the bottleout of the car, and  handed it to the man. The man took a really big drink, 
and handed the woman the bottle. The  woman  closed the bottle and put it down. The man  asked,  
'Aren't you going to take a drink?' 

The woman cleverly replied, 
'No, I think I'll  just  wait for the cops to get here.'",640,-0.05,0.6583333333333333,0,1,117,2.34
77,"If pro- is the opposite of con- then congress must be the opposite
of progress.",79,0.1333333333333333,0.8,0,0,13,0.64
78,"Q: What's the difference between the government  and  the Mafia?

A: One of them is organized.",94,0.0,0.875,0,1,16,1.66
79,"Q: Ever wonder why the IRS calls it Form 1040?

A: Because for every $50 that you earn, you get 10 and they get 40.",115,0.0,0.92,0,1,21,-0.14
80,"Hillary, Bill Clinton and the Pope are sitting together on an airplane.

Bill says ""I could throw one thousand dollar bill out of this plane and
make one person very happy.""

Hillary says ""I could throw 10 hundred dollar bills out of the plane and
make 10 people very happy.""

The Pope chips in and says ""I could throw Bill out of the airplane and make the whole 
country happy.""",379,0.1285714285714285,0.5571428571428572,0,0,68,1.03
81,"An Asian man goes into a New York CityBank to exchange 10,000 yen for
American Currency.  The teller gives him $72.00.  The next month the
Asian man goes into the same bank with 10,000 yen and receives $62.00.
He asks, ""How come? Only $62.00?"" The teller says ""Fluctuations-
Fluctuations!""

Whereupon the Asian man looks back at the teller and says ""Fluk you
Amelicans too!""",374,0.0,0.734375,2,2,58,1.75
82,"Q: How do you keep a computer programmer in the 
shower all day long?

A: Give them a shampoo with a label that says
""rinse, lather, repeat"".",141,0.0,0.925925925925926,0,1,27,0.62
83,"What a woman says:
""This place is a mess! C'mon,
You and I need to clean up,
Your stuff is lying on the floor and
you'll have no clothes to wear,
if we don't do laundry right now!""
What a man hears:
blah, blah, blah, blah, C'mon
blah, blah, blah, blah, you and I
blah, blah, blah, blah, on the floor
blah, blah, blah, blah, no clothes
blah, blah, blah, blah, RIGHT NOW!",369,-0.5753424657534246,0.5616438356164384,3,0,71,1.97
84,"Q: What is the difference between Mechanical Engineers and Civil 
Engineers?
 
A: Mechanical Engineers build weapons, Civil Engineers build targets.",148,0.0,0.75,0,1,20,0.52
85,"Q: How many Presidents does it take to screw in a light bulb?

A: It depends upon your definition of screwing a light bulb.",123,0.0,0.9166666666666666,0,1,24,0.63
86,"A neutron walks into a bar and orders a drink.
""How much do I owe you?"" the neutron asks.

The bartender replies, ""for you, no charge.""",135,-0.0384615384615384,0.9230769230769232,0,1,26,0.27
87,"A man, recently completing a routine physical examination receives a
phone call from his doctor.  The doctor says, ""I have some good news and
some bad news.""  The man says, ""OK, give me the good news first.""  The
doctor says, ""The good news is, you have 24 hours to live.""  The man
replies, ""Shit!  That's the good news?  Then what's the bad news?""

The doctor says, ""The bad news is, I forgot to call you yesterday.""",417,-0.0263157894736842,0.631578947368421,1,2,75,1.85
88,"A Czechoslovakian man felt his eyesight was growing steadily worse, and 
felt it was time to go see an optometrist. 

The doctor started with some simple testing, and showed him a standard eye 
chart with letters of
diminishing size: CRKBNWXSKZY. . . 

""Can you read this?"" the doctor asked. 

""Read it?"" the Czech answered. ""Doc, I know him!""",343,-0.0344827586206896,0.8793103448275862,1,2,56,1.97
89,"A radio conversation of a US naval 
ship with Canadian authorities ... 

Americans: Please divert your course 15 degrees to the North to avoid a
collision.

Canadians: Recommend you divert YOUR course 15 degrees to the South to 
avoid a collision.

Americans: This is the Captain of a US Navy ship.  I say again, divert 
YOUR course.

Canadians: No.  I say again, you divert YOUR course.

Americans: This is the aircraft carrier USS LINCOLN, the second largest ship in the United States' Atlantic Fleet. We are accompanied by three destroyers, three cruisers and numerous support vessels. I demand that you change your course 15 degrees north, that's ONE FIVE DEGREES NORTH, or counter-measures will be undertaken to ensure the safety of this ship.

Canadians: This is a lighthouse.  Your call.",794,0.0,0.6230769230769231,0,0,125,3.35
90,"Q: How many programmers does it take to change a lightbulb?

A: NONE!   That's a hardware problem....",101,-0.1176470588235294,0.9411764705882352,1,1,17,0.37
91,"A Panda bear walks into a bar.  Sits down at a table and orders a beer 
and a double cheeseburger.  After he is finished eating, he pulls out a gun
and rips the place with gunfire.  Patrons scatter and dive under chairs and
tables as the bear runs out the door.  After ensuring that no one is hurt, 
the bartender races out the door, and calls after the bear ""What the hell did
you do that for?""  The bear calls back, ""I'm a Panda bear.  Look it up in the
dictionary.""  

The bartender returns, pulls out his dictionary.

panda : \Pan""da\, n. (Zo[""o]l.)
A small Asiatic mammal (Ailurus fulgens) having fine soft fur.
It is related to the bears, and inhabits the mountains of Northern India.
Eats shoots and leaves.",714,-0.0384615384615384,0.7076923076923077,0,1,128,1.91
92,"Early one morning a mother went to her sleeping son and woke him up.

""Wake up, son.  It's time to go to school."" 
""But why, Mama?  I don't want to go to school."" 
""Give me two reasons why you don't want to go to school."" 
""One, all the children hate me. Two, all the teachers hate me,"" 
""Oh! that's no reason. Come on, you have to go to school,"" 

""Give me two good reasons WHY I should go to school?"" 
 
""One, you are fifty-two years old. Two, you are the principal of the
 school.""",484,-0.0212765957446808,0.6382978723404256,1,2,93,1.12
